caldt,spret
20050701,0.002837
20050705,0.009013
20050706,-0.008072
20050707,0.002497
20050708,0.011644
20050711,0.00632
20050712,0.002328
20050713,0.000996
20050714,0.002641
20050715,0.001158
20050718,-0.005506
20050719,0.00683
20050720,0.004731
20050721,-0.006551
20050722,0.005279
20050725,-0.003734
20050726,0.001625
20050727,0.004746
20050728,0.005865
20050729,-0.007682
20050801,0.000921
20050802,0.007203
20050803,0.000961
20050804,-0.007454
20050805,-0.007581
20050808,-0.00269
20050809,0.006739
20050810,-0.001457
20050811,0.007092
20050812,-0.005907
20050815,0.002992
20050816,-0.011863
20050817,0.000947
20050818,-0.000896
20050819,0.000649
20050822,0.001575
20050823,-0.0034
20050824,-0.006496
20050825,0.002298
20050826,-0.005893
20050829,0.006146
20050830,-0.003064
20050831,0.010118
20050901,0.001168
20050902,-0.002892
20050906,0.012683
20050907,0.002604
20050908,-0.003834
20050909,0.007993
20050912,-0.000658
20050913,-0.00733
20050914,-0.003321
20050915,0.000423
20050916,0.008105
20050919,-0.005402
20050920,-0.007778
20050921,-0.009393
20050922,0.003907
20050923,0.000566
20050926,0.000305
20050927,0.000078
20050928,0.001166
20050929,0.008925
20050930,0.001059
20051003,-0.001663
20051004,-0.00979
20051005,-0.014432
20051006,-0.004147
20051007,0.003787
20051010,-0.00714
20051011,-0.001923
20051012,-0.005934
20051013,-0.000623
20051014,0.008248
20051017,0.003046
20051018,-0.00996
20051019,0.015022
20051020,-0.01501
20051021,0.001615
20051024,0.016778
20051025,-0.002479
20051026,-0.004176
20051027,-0.010418
20051028,0.01658
20051031,0.00751
20051101,-0.003382
20051102,0.010144
20051103,0.004592
20051104,0.000277
20051107,0.002369
20051108,-0.002964
20051109,0.001656
20051110,0.008832
20051111,0.003027
20051114,-0.000716
20051115,-0.003739
20051116,0.002052
20051117,0.009395
20051118,0.004443
20051121,0.0053
20051122,0.005053
20051123,0.003624
20051125,0.002014
20051128,-0.008404
20051129,0.000076
20051130,-0.006012
20051201,0.012035
20051202,0.000412
20051205,-0.002464
20051206,0.001262
20051207,-0.004769
20051208,-0.001017
20051209,0.002859
20051212,0.001008
20051213,0.005631
20051214,0.004246
20051215,-0.001405
20051216,-0.002829
20051219,-0.005893
20051220,-0.00032
20051221,0.002485
20051222,0.004371
20051223,0.000513
20051227,-0.00953
20051228,0.001441
20051229,-0.002898
20051230,-0.004988
20060103,0.016374
20060104,0.003931
20060105,0.000035
20060106,0.009559
20060109,0.00371
20060110,-0.00034
20060111,0.003637
20060112,-0.006328
20060113,0.001146
20060117,-0.003727
20060118,-0.003855
20060119,0.005627
20060120,-0.018242
20060123,0.001952
20060124,0.002346
20060125,-0.001663
20060126,0.007313
20060127,0.007846
20060130,0.001336
20060131,-0.004009
20060201,0.001969
20060202,-0.008613
20060203,-0.005509
20060206,0.00066
20060207,-0.008058
20060208,0.009058
20060209,-0.001368
20060210,0.002512
20060213,-0.003194
20060214,0.010232
20060215,0.003883
20060216,0.007384
20060217,-0.001742
20060221,-0.003292
20060222,0.007578
20060223,-0.003421
20060224,0.001314
20060227,0.003839
20060228,-0.010479
20060301,0.008457
20060302,-0.001631
20060303,-0.001352
20060306,-0.006979
20060307,-0.001836
20060308,0.002283
20060309,-0.004849
20060310,0.00739
20060313,0.002234
20060314,0.010364
20060315,0.004471
20060316,0.002011
20060317,0.001535
20060320,-0.001426
20060321,-0.006015
20060322,0.005919
20060323,-0.002579
20060324,0.000929
20060327,-0.001102
20060328,-0.006381
20060329,0.007607
20060330,-0.002014
20060331,-0.004061
20060403,0.002241
20060404,0.006185
20060405,0.004393
20060406,-0.001739
20060407,-0.01041
20060410,0.000812
20060411,-0.007571
20060412,0.001395
20060413,0.000549
