date,PFE,NKE,C,TM,BIIB,AZN
20130513,0.022632,-0.001699,0.003487,0.029271,0.044649,-0.003492
20130514,0.001021,0.01949,0.023917,-0.005447,0.031876,-0.00331
20130515,0.005442,-0.001214,0.024955,0.019734,-0.011791,0.01094
20130516,-0.010487,-0.021115,-0.014219,-0.01169,0.003786,0.001546
20130517,-0.009915,0.013656,0.016598,0.017583,-0.005,-0.005209
20130520,-0.008978,0.000153,0.002915,0.010446,-0.007362,-0.001164
20130521,0.002787,-0.001531,0.001163,0.008317,0.027312,0.004078
20130522,0.018068,-0.011958,-0.012776,-0.014493,0.007522,0.012377
20130523,-0.006485,-0.017378,-0.009216,-0.024875,-0.001931,-0.005158
20130524,-0.002405,-0.008527,-0.000198,-0.03313,0.011263,0.001728
20130528,-0.001033,0.007804,0.025139,0.021986,0.02389,0.016101
20130529,-0.025164,-0.005531,0.009461,-0.029307,-0.007764,-0.013771
20130530,-0.001061,-0.004926,0.018937,0.007443,-0.000418,-0.002295
20130531,-0.036106,-0.012017,-0.024029,-0.024157,-0.00586,-0.017446
20130603,0.019097,0.022219,-0.000577,-0.011399,-0.042528,0.004683
20130604,-0.003243,-0.003966,-0.014049,0.017641,-0.033643,-0.004661
20130605,-0.006508,-0.016406,-0.023424,-0.028666,-0.025667,-0.008781
20130606,0.022926,0.00664,0.01599,-0.003395,0.033115,0.013583
20130607,0.005336,0.009492,0.015148,0.022537,0.017315,-0.000777
20130610,0.003892,0.004622,0.006395,0.034939,-0.012577,-0.000972
20130611,0.001762,-0.014118,-0.038128,-0.010153,0.003781,-0.008949
20130612,0.000352,-0.011907,-0.01021,-0.006588,-0.073891,0.000785
20130613,0.022863,0.005699,0.017193,0.018215,0.01467,0.001765
20130614,0.000344,0.002105,-0.021277,-0.032317,0.011499,-0.005287
20130617,0.002406,0.000808,0.002844,0.025558,-0.020001,0.003346
20130618,0.00823,0.00339,0.013169,0.015866,0.014681,0.000196
20130619,-0.010204,-0.006436,-0.009598,-0.012348,-0.033207,-0.015496
20130620,-0.015979,-0.015709,-0.032909,-0.0308,-0.020707,-0.038055
20130621,-0.006111,-0.003455,-0.021503,0.021271,-0.002535,-0.002693
20130624,-0.026353,-0.010236,-0.03051,-0.025261,0.006962,-0.019315
